COE_names,P1-EUI Num,P1-Breach%,P1-Deviation
Project Controls,5,60.0,2.1666666666666665
Frameworks,27,62.96296296296296,3.6666666666666665
Bidding & Risk,2,100.0,3.1666666666666665
Nexus,3,66.66666666666666,1.3333333333333333
Field Workflows,11,90.9090909090909,1384.6666666666667
Work Breakdown & Planning,1,100.0,203.66666666666666
Common Services,5,60.0,2.5
Field Collaboration,8,75.0,8.083333333333332
Construction Records,11,54.54545454545454,2.1666666666666665
BIM for Construction,1,100.0,113.0
